naslov,avtor,dolzina,zvrst,o_pisatelju
Ledeni teden,Pascal Bruckner,296,roman,"Pascal Bruckner (1948, Pariz) je esejist in romanopisec. Večina njegovih del je posvečena kritiki francoske družbe in kulture. Za svoja dela je prejel &scaron;tevilne nagrade, njegova proza pa je doživela tudi odmevno filmsko uprizoritev (<em>Bitter Moon</em>, Roman Polanski)."
Zlo pride s severa,Fulvio Tomizza,613,roman,"Pisatelj Fulvio Tomizza (1936-;1999, Materada, Hrva&scaron;ka) je ustvaril obsežen pripovedni opus o Istranih, zgodovinske romane, avtobiografske pripovedi in romance s slovensko tematiko. Prejel je najpomembnej&scaron;e italijanske in mednarodne literarne nagrade, leta 1986 tudi nagrado Vilenica."
Šola za dobre matere,Jessamine Chan,356,roman,"Jessamine Chan je ameri&scaron;ka pisateljica kitajskih korenin. Magistrirala je na Univerzi Columbia, nato pa kot urednica delala pri časopisu <em>Publishers Weekly</em>. Njene kratke zgodbe so bile objavljene v &scaron;tevilnih revijah. <em>&Scaron;ola za dobre matere</em> je njen kriti&scaron;ko odmeven in večkrat nagrajen romaneskni prvenec, preveden že v več kot 20 jezikov, ki je prevzel bralce &scaron;irom sveta; med drugim tudi Baracka Obamo, ki je roman uvrstil na lestvico svojih najljub&scaron;ih knjig. Z možem in hčerko živi v Chicagu."
Murska saga,Feri Lainšček,375,roman,"Pisatelj, pesnik, dramatik in scenarist Feri Lain&scaron;ček (1959) živi in ustvarja v Murski Soboti. Njegova bibliografija obsega več kot 100 samostojnih knjižnih enot, med katerimi je 25 romanov, ki so večinoma že prevedeni v tuje jezike. Za svoja dela je prejel &scaron;tevilne nagrade: leta 1995 je za roman <em>Ki jo je megla prinesla</em> prejel nagrado Pre&scaron;ernovega sklada, leta 2021 pa Pre&scaron;ernovo nagrado za življenjsko delo. Kresnika je prejel dvakrat, leta 1992 za roman <em>Namesto koga roža cveti</em> in leta 2007 za roman <em>Muri&scaron;a</em>. Večernico je prejel leta 2001 za knjigo pravljic <em>Mislice</em>, desetnico leta 2012 za knjigo <em>Pesmi o Mi&scaron;ku in Belami&scaron;ki</em>. Z romanom <em>Kurji pastir</em> je bil znova uvr&scaron;čen med pet finalistov za nagrado kresnik. Feri Lain&scaron;ček je tudi slovenski pisatelj, čigar literarna dela so doživela največ filmskih adaptacij (Halgato, Moku&scaron;, Petelinji zajtrk, &Scaron;anghaj &hellip;)."
Rojstvo mostu,Maylis de Kerangal,270,roman,"Maylis de Kerangal (1967)&nbsp;je ena najbolj znanih sodobnih francoskih avtoric, dobitnica &scaron;tevilnih literarnih nagrad, katere dela so prevedena več deset jezikov."
Nebesna telesa,Džoha Alharti,236,roman,"Džoha Alharti je omanska avtorica dveh zbirk kratke proze in treh romanov, v vrh sodobne literature pa so jo ponesla prav Nebesna telesa, ki so leta 2019 prejela mednarodno nagrado man booker. To je prvi v arab&scaron;čini napisani roman, ki je prejel to prestižno nagrado, in prva knjiga omanske avtorice, ki je bila prevedena v angle&scaron;čino -; pa tudi v sloven&scaron;čino."
Ob nastanku sveta,Drago Jančar,268,roman,"Drago Jančar (1948), pisatelj, dramatik in esejist, velja za enega od najbolj uveljavljenih in prevajanih sodobnih slovenskih avtorjev. Najprej je deloval kot urednik, lektor in korektor pri Časopisu Večer, od leta 1981 in vse do svoje upokojitve 2016 pa je bil urednik in tajnik pri Slovenski matici. Za svoja dela je prejel mnoga najvidnej&scaron;a slovenska in mednarodna priznanja - leta 2020 je za svoj opus prejel avstrijsko državno nagrado za evropsko književnost, septembra 2021 pa tudi častni doktorat mariborske univerze."
Zločin očeta Amara,José Maria de Eça de Queirós,,roman,"Maria de E&ccedil;a de Queir&oacute;s (1845-;1900), največji predstavnik portugalskega realizma in eden največjih portugalskih pisateljev. Genialen slikar portugalske družbe 19. stoletja s prefinjeno satiro, živimi opisi in izjemno razgledanostjo, briljantnim umom ter kritičnim očesom. Bil je javna osebnost, deloval je kot novinar in predstavnik intelektualnih krožkov ter predavatelj in diplomat."
V senci cvetočih deklet,Marcel Proust,760,roman,"Marcel Proust (1871-;1922) velja za velikana svetovne književnosti, naslednika francoskih realistov in znanilca moderne proze 20. stoletja. Po mladostnih poskusih, med katere sodi v sloven&scaron;čino prevedena zbirka Radosti in dnevi, je pri petintridesetih začel pisati Iskanje izgubljenega časa. Ta je nastajal do njegove smrti. Pari&scaron;ki saloni in obmorska letovi&scaron;ča so predstavljali Proustov resnični kot tudi literarni poligon. Pečat je pustil zlasti s podrobnimi opisi stvarnosti, pravzaprav evokacijami preteklih časov in prostorov, ki za posameznika niso ne zunanji in ne minljivi."
Pusti me pri miru,Alejandra Laurencich,280,roman,"Alejandra Laurencich (1963, Buenos Aires, Argentina) je prozaistka in scenaristka. Za svoj prvenec kratkih zgodb je prejela nagrado Državnega sklada za umetnost. Kot pisateljica je bila deležna &scaron;tevilnih odlikovanj, njen roman <em>Fin de milenio</em> (<em>Konec tisočletja, 1994</em>) se je zna&scaron;el med finalisti nagrade emec&eacute;. Pi&scaron;e za posebne priloge književnih revij in dnevnikov, kot je priljubljeni argentinski jutranjik <em>P&aacute;gina</em> <em>12.</em>"
Besi,Fjodor Mihajlovič Dostojevski,816,roman,"Fjodor Mihajlovič Dostojevski (1821-1881) je fanatični izpra&scaron;evalec vesti družbe in sebe, največji psiholog v literaturi, v vrhu ruske literature in eden najpomembnej&scaron;ih romanopiscev svetovne književnosti. Njegova dela opisujejo politične, socialne in duhovne razmere v času ruskega imperija, ki je v 19. stoletju začel razpadati. &Scaron;olal se je doma, pridružil se je skupini utopičnih socialistov, zaradi česar so ga poslali na prisilno delo v Sibirijo in pozneje v vojsko. Po vrnitvi je začel pisati, poročil se je, nekaj časa je bil urednik pri časopisu. Pri Beletrini je do sedaj iz&scaron;lo več del Dostojevskega: Nespodobna anekdota, Dnevnik pisatelja I in Dnevnik pisatelja II, Zapiski iz podtalja, Zapiski iz mrtvega doma, Mladenič."
Pet fragmentov,Lojze Kovačič,830,roman,"Lojze Kovačič (1928&minus;2004) velja za vodilnega mojstra pripovedne proze dvajsetega stoletja in slovenskega, evropskega ter svetovnega klasika. Pisal je za otroke in odrasle, snov je jemal iz osebnega in družinskega življenja ter neposredno iz okolja, ki ga je doživljal. Njegova dela so bila prevedena v več jezikov."
Čas lepih žensk,Jurij Hudolin,224,roman,"Jurij Hudolin (1973) je slovenski pesnik, pisatelj, kritik, kolumnist in prevajalec, ki je na Filozofski fakulteti v Ljubljani &scaron;tudiral primerjalno jezikoslovje. Od leta 1995 je svobodni književnik; pi&scaron;e poezijo, prozo, scenarije in kolumne. Bil je urednik literarne revije Apokalipsa, nekaj časa je bil tudi glavni urednik založbe VBZ. Njegova dela so bila prevedena v hrva&scaron;ki, srbski, makedonski, če&scaron;ki in angle&scaron;ki jezik, revijalno v več kot trideset jezikov."
Tri smrti,Gabriela Babnik,408,roman,"Gabriela Babnik (1979) je diplomirala iz primerjalne književnosti in literarne teorije ter 2009 magistrirala iz nigerijskega modernega romana. Od leta 2002 se z ocenami in analizami literarnih del redno pojavlja v revijalni publicistiki. Za roman Koža iz bombaža (2007) je prejela nagrado Slovenskega knjižnega sejma za najbolj&scaron;i prvenec. Za roman Su&scaron;na doba, ki je preveden v več kot deset jezikov, je leta 2013 prejela nagrado Evropske unije, za svoje kriti&scaron;ko delo pa istega leta &scaron;e Stritarjevo nagrado. Poleg pisateljevanja tudi prevaja, večinoma afri&scaron;ke avtorje, in pi&scaron;e radijske igre."
Pontonski most,Suzana Tratnik,264,roman,"Suzana Tratnik (1963) je pisateljica, prevajalka in publicistka. Med drugim je objavila&nbsp;sedem kratkoproznih zbirk, &scaron;est romanov&nbsp;(<em>Ime mi je Damjan</em>, <em>Tretji svet</em>, <em>Tombola ali življenje!,</em>&nbsp;<em>Norhavs</em> <em>na</em> <em>vrhu hriba, Pontonski most </em>in <em>Ava</em>), otro&scaron;ko slikanico <em>Zafu&scaron;kana Ganca</em>, monodramo <em>Ime mi je Damjan</em>, radijsko igro <em>Lep dan &scaron;e naprej</em>, dve strokovni deli o lezbičnem gibanju v Sloveniji in o lezbični literaturi. Prejela je nagrado Pre&scaron;ernovega sklada za literaturo, nagrado Novo mesto short za kratko prozo in desetnico za najbolj&scaron;i mladinski roman. Njene knjige in kratke zgodbe so prevedene v trideset jezikov."
Mefisto,Klaus Mann,368,roman,"Klaus Mann (1906-;1949), sin Thomasa Manna, je do svoje emigracije leta 1933 živel v Berlinu, potem pa v Parizu, Amsterdamu in &Scaron;vici, dokler se ni leta 1936 naselil v Ameriki. Pisal je novele, romane in eseje, ukvarjal pa se je tudi z igralstvom, gledali&scaron;ko kritiko in novinarstvom. Njegova zrelej&scaron;a literarna dela so nastajala v obdobju emigracije, med njimi tudi roman Mefisto. Aktivno je sodeloval v emigrantskem protinacističnem gibanju. Njegova pot se je končala mnogo prezgodaj: star 43 let si je vzel življenje."
Ekstradeviško,Dušan Čater,464,roman,"Du&scaron;an Čater (1968) je pisatelj, prevajalec, scenarist in urednik, ki je na Univerzi v Ljubljani &scaron;tudiral novinarstvo in sociologijo. Delal je kot urednik založbe Karantanija ter kot kolumnist sodeloval pri nekaterih slovenskih časopisih in revijah, od leta 1995 deluje kot svobodni pisatelj. Izdal je tudi nekaj slikanic po ponarodelih motivih in pisal scenarije za televizijske oddaje ter nekaj izvirnih iger."
Slepe miši,Dušan Merc,360,roman,"Du&scaron;an Merc (1952) slovenski pisatelj in učitelj, ki je diplomiral na Filozofski fakulteti v Ljubljani, na Oddelku za primerjalno književnost in literarno teorijo. Sprva je bil zaposlen kot učitelj sloven&scaron;čine, pozneje je bil dvaintrideset let ravnatelj Osnovne &scaron;ole Prule. V svoji dolgoletni pisateljski karieri je izdal trinajst romanov, tri zbirke kratkih zgodb in knjigo esejev.&nbsp;Večkrat je bil nominiran za kresnika in nagrado Pre&scaron;ernovega sklada."
Krasni dnevi,Andrej E. Skubic,448,roman,"Andrej E. Skubic (1967) je pisatelj, dramatik, scenarist, prevajalec in jezikoslovec. Na Filozofski fakulteti v Ljubljani je &scaron;tudiral slovenistiko in anglistiko, z nalogo Sociolekti v jezikovni stvarnosti in literarnem delu pa je leta 2003 doktoriral. Njegove knjige so prevedene v vrsto tujih jezikov, za pisateljsko delo pa je prejel tudi nagrado Pre&scaron;ernovega sklada in Župančičevo nagrado. Leta 2019 je za knjigo <em>Babi nima več telefona</em> iz serije <em>Trio Golaznikus</em> prejel nagrado večernica.&nbsp;Za prevajalsko delo je dobil Sovretovo nagrado."
Olga,Bernhard Schlink,240,roman,"Bernhard Schlink<strong> </strong>(1944) je pravnik in pravni teoretik, ki živi med Berlinom in New Yorkom ter usklajuje karieri univerzitetnega predavatelja ter pisatelja. Schlink je literarni klasik 20. stoletja in eden najpomembnej&scaron;ih nem&scaron;kih pisateljev. Njegov roman <em>Bralec,</em> ki je v izvirniku iz&scaron;el leta 1995, je <em>Der Spiegel</em> označil za enega največjih literarnih triumfov po <em>Pločevinastem bobnu</em> G&uuml;nterja Grassa. <em>Bralec</em> je tudi prvi nem&scaron;ki roman, ki je osvojil lestvico najbolje prodajanih knjig <em>The New York Timesa</em>."
Povračilo,Gert Ledig,228,roman,"Gert&nbsp;Ledig (1921-;1999) se je z osemnajstimi leti kot prostovoljec pridružil wehrmachtu na zahodnih boji&scaron;čih. Zaradi disciplinskih prekr&scaron;kov so ga premestili v kazenski bataljon na vzhodno fronto, leta 1942 je bil ranjen v bitki pri Leningradu, med okrevanjem pa je doživel bombardiranje nem&scaron;kih mest. Od leta 1953 se je posvetil izključno pisanju. Roman <em>Povračilo</em> je leta 1956 najprej naletel na odobravanje, kmalu pa je bil zaradi radikalne vsebine odstranjen s prodajnih polic. Ledig se je nato razočaran umaknil iz literarnega življenja in od leta 1963 živel v izolaciji na južnem Bavarskem. Nekaj mesecev pred smrtjo leta 1999 je založba Suhrkamp roman ponatisnila in tako se je avtor posthumno uvrstil med najpomembnej&scaron;e nem&scaron;ke avtorje, ki so pisali o drugi svetovni vojni."
Avignonski kvintet,Lawrence Durrell,1692,roman,"Lawrence Durrell (1912-;1990) je eden najslavnej&scaron;ih in najbolje prodajanih angle&scaron;kih romanopiscev poznega 20. stoletja. Rojen je bil v Indiji, v &scaron;olo pa je bil poslan v Anglijo, kjer, vajen raznolikih vplivov Orienta, ni zdržal, zato je mater prepričal, da se z družino preselijo na otok Krf. V Grčiji je ostal do druge svetovne vojne, med katero je s čolnom zbežal na Kreto in od tam v Egipt. V Kairu in Aleksandriji je ostal do konca vojne in tam opravljal službo tiskovnega diplomata pri angle&scaron;kem &scaron;tabu za Srednji vzhod. Rezultat vtisov iz severne Afrike, Sredozemlja in Male Azije je&nbsp;<em>Aleksandrijski kvartet</em>, ki ga je napisal mnogo let pozneje, v &scaron;estdesetih letih prej&scaron;njega stoletja, ko je živel v Franciji, in sicer v Languedocu v vasici Sommi&egrave;res, kjer je ustvaril tudi&nbsp;<em>Avignonski kvintet</em>."
Tolažba nočnega neba,Dževad Karahasan,324,roman,"Bosanski romanopisec, dramatik, esejist, literarni in gledali&scaron;ki teoretik in kritik Dževad Karahasan (1953-2023) je avtor &scaron;tevilnih romanov: <em>Vzhodni divan</em> (1989, slov. 2007), <em>&Scaron;ahrijarjev prstan</em> (1996), <em>Sara in Serafina</em> (1999, slov. 2011), <em>Nočni shod</em> (2005, slov. 2011), trilogija <em>Kaj pripoveduje pepel</em> (2015). Pisal je&nbsp;tudi drame, kratko prozo, eseje ter literarnoteoretska in kriti&scaron;ka besedila. Prejel je &scaron;tevilne literarne nagrade, mdr. Herderjevo nagrado (1999), vilenico (2010), Goethejevo medaljo Goethejevega in&scaron;tituta (2012), nagrado Heinricha Heineja (2012) in Goethejevo nagrado (2020). Leta 2022 je bil gost festivala Literature sveta - Fabula."
Kar se nam ne dogaja,Bettina Wilpert,152,roman,"Bettina&nbsp;Wilpert (1989) je za svoj prvenec <em>Kar se nam ne dogaja</em> prejela&nbsp;&scaron;tevilne nem&scaron;ke literarne nagrade, med drugim dve nagradi za prvenec leta in nominacijo za nagrado Clemens-Brentano."
Američanka,Lenart Zajc,368,roman,"Lenart Zajc (1967)&nbsp;je avtor sedmih proznih literarnih del, med njimi romana <em>5 do 12</em> (1998), ki je bil uvr&scaron;čen v ožji izbor za nagrado Slovenskega knjižnega sejma za najbolj&scaron;i prvenec, in romana <em>Zguba </em>(2001), ki se je uvrstil v ožji izbor za nagrado kresnik. Njegove kratke zgodbe najdemo v raznih antologijah, napisal pa je tudi več scenarijev za lutkovne predstave za otroke in mladino. V letu 2013 se je pridružil slovenskemu vstajni&scaron;kemu gibanju kot eden ustanovnih članov <em>Mreže za neposredno demokracijo</em>. Je tudi idejni oče projekta <em>Vključujemo in aktiviramo</em> (ViA), ki s podporo evropskih sredstev poteka pod okriljem Javne agencije za knjigo. Trenutno se ukvarja izključno s pisanjem in z omenjenim projektom."
Ozka vrata,André Gide,152,roman,"Andr&eacute; Gide (1869-;1951), eden najbolj cenjenih pisateljev in kritikov svoje dobe, pisatelj skoraj otipljive simbolike, sodobnik Ivana Cankarja, pri čemer je za Gida značilna &scaron;e močnej&scaron;a povezava med umetni&scaron;kim izrazom in osebnim življenjem. Odra&scaron;čal je v protestantski družini in bil deležen stroge puritanske vzgoje, posledično pa je dobro poznal Sveto pismo, kar se odraža tudi v njegovih delih. Obiskoval je Mallarm&eacute;jev literarni krožek &raquo;torkovcev&laquo;, kjer se je srečeval s tedanjimi velikani -; Val&eacute;ryjem, Rilkejem, Claudelom. Svojevrsten osebni prelom je doživel leta 1893, ko je potoval v sever - no Afriko, kjer je srečal Oscarja Wilda in odkril svojo homoseksualnost. Bil je tudi urednik pri ugledni založbi Gallimard, iz njegove uredni&scaron;ke kariere je znano, da je zavrnil Proustov rokopis Iskanje izgubljenega časa."
Menuet za kitaro,Vitomil Zupan,612,roman,"Vitomil Zupan (1914-;1987) je bil pisatelj, pesnik, dramatik in esejist. Snov za svoja dela je črpal iz lastnih doživetij in iz literature, ki jo je prebiral. V njegovem &scaron;irokem in raznovrstnem romanesknem opusu tako izstopajo dela z avtobiografsko noto: <em>Menuet za kitaro</em>, <em>Levitan</em>, <em>Igra s hudičevim repom</em> in <em>Komedija člove&scaron;kega tkiva</em>.&nbsp;"
"Balerina, Balerina",Marko Sosič,132,roman,"Marko Sosič (1958, Trst - 2021) je gledali&scaron;ki in filmski režiser ter pisatelj. Najbolj znan je po romanu <em>Balerina, Balerina</em>, za katerega je prejel nagrado vstajenje, roman pa je bil uvr&scaron;čen med deset na&scaron;ih najbolj&scaron;ih romanov po letu 1989 in pet finalistov za kresnika ter bil izbran za evropski projekt 100 slovanskih romanov. Tudi z drugimi, poznej&scaron;imi deli je bil med finalisti za najpomemnej&scaron;e slovenske literarne nagrade."
Salon Kitty,Nigel Jones,324,roman,"Nigel Jones, zgodovinar in novinar, je avtor osmih zgodovinskih knjig in biografij, vključno s priznanima biografijama Ruperta Brooka ter Patricka Hamiltona, Peace and War: Britain in 1914 (Mir in vojna: Britanija leta 1914) in Tower: An Epic History of the Tower of London (Tower: Epska zgodovina londonskega Towra). Kot velik poznavalec pesnikov prve svetovne vojne in vzpona nacizma ter fa&scaron;izma med svetovnima vojnama je več let vodil tudi zgodovinske ture po zahodni fronti, Nemčiji in Italiji. Nekdanji namestnik urednika revije History Today in ustanovni urednik BBC-jeve revije History pi&scaron;e ter redno recenzira za ti dve reviji in druge nacionalne časopise ter revije in pogosto nastopa v televizijskih zgodovinskih dokumentarnih oddajah.<br />
&nbsp;"
